epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4341.2,0.9678,0.87554,1.08509,0.79961,0.66655,0.71529,0.49628,1.38016,1.58054,1.44682,0.00043325,0.00043325,0.00043325
68,4406.12,1.02606,0.90442,1.12225,0.82875,0.69437,0.73196,0.49266,1.38291,1.59118,1.45174,0.000420875,0.000420875,0.000420875
69,4471.32,0.98143,0.88848,1.10653,0.83815,0.67633,0.73808,0.49611,1.32066,1.56136,1.40845,0.0004085,0.0004085,0.0004085
70,4536.95,0.98936,0.88525,1.10111,0.7653,0.73221,0.73541,0.49564,1.31306,1.57129,1.39794,0.000396125,0.000396125,0.000396125
71,4601.98,0.98294,0.84718,1.12361,0.81303,0.69573,0.72253,0.49673,1.29801,1.51525,1.3813,0.00038375,0.00038375,0.00038375
72,4670.42,0.98168,0.82868,1.11554,0.77469,0.71462,0.73106,0.51408,1.30831,1.51001,1.37989,0.000371375,0.000371375,0.000371375
73,4737.43,1.02241,0.8767,1.13605,0.8548,0.68208,0.74626,0.50942,1.32825,1.48839,1.40638,0.000359,0.000359,0.000359
74,4809.45,0.98499,0.83418,1.1169,0.84521,0.7171,0.74399,0.50514,1.34066,1.51739,1.40997,0.000346625,0.000346625,0.000346625
75,4876.29,0.98099,0.85825,1.11173,0.78447,0.74748,0.75218,0.5024,1.35289,1.48922,1.42034,0.00033425,0.00033425,0.00033425
76,4940.53,0.96728,0.8571,1.11813,0.81378,0.73094,0.75228,0.50552,1.34242,1.45485,1.41292,0.000321875,0.000321875,0.000321875
77,5004.46,0.97284,0.89432,1.10909,0.78511,0.74584,0.73882,0.51771,1.34104,1.44353,1.41588,0.0003095,0.0003095,0.0003095
78,5069.2,0.96194,0.82517,1.11852,0.81739,0.69721,0.74031,0.51152,1.33338,1.44095,1.42804,0.000297125,0.000297125,0.000297125
79,5134.2,0.96082,0.85486,1.09922,0.84842,0.67428,0.7257,0.49773,1.33659,1.49302,1.44082,0.00028475,0.00028475,0.00028475
80,5199,0.97028,0.86622,1.11809,0.82373,0.69436,0.7322,0.49632,1.33783,1.4609,1.42666,0.000272375,0.000272375,0.000272375
